Lintang,Bujur,Kelas
0.93,121.16,1
-9.1,117.68,2
-3.28,131.03,2
0.5,122.33,3
-0.26,122.78,1
1.47,122.2,2
3.23,98.3,3
1.7,126.13,3
0.6,122.32,1
-0.98,131.06,1
0.01,126.98,2
-0.04,122.98,1
1.84,126.46,3
1.76,98.27,1
-9.38,114.14,2
-0.24,99.45,1
-5.51,129.31,4
1.05,124.08,1
-0.11,123.11,1
0.5,98.1,3
-3.34,131.22,3
-8.48,123.82,1
-3.49,134.4,2
0.97,121.99,1
-3.59,127.82,1
-0.11,122.84,1
2.69,128.47,3
-10.13,122.88,4
-6.61,129.46,4
-8.62,116.28,1
0.78,121.26,1
2.55,98.98,2
-0.61,131.45,1
-0.48,124.11,1
-9.91,121.74,1
-0.48,125.15,1
-1.81,129.94,1
-2.56,126.86,3
0.07,123.41,1
-7.84,128.67,4
-0.44,125.29,2
-3.66,101.67,2
-5.06,102.96,4
1.86,98.57,1
-7.73,123.97,1
-1.29,120.48,1
-8.32,109.03,1
-9.09,111.88,2
5.33,94.38,4
-0.28,122.95,1
-7.85,107.3,2
3.6,126.81,2
0.09,132.35,1
-8.35,119.58,1
-0.32,126.91,1
-0.67,127.92,1
0.36,122.03,1
-0.43,119.28,1
-9.68,115.97,1
-8.6,124.83,1
-4.17,123.36,3
-6.21,130.61,2
-0.13,123.02,1
0.46,122.46,1
-9.43,117.74,1
-9.38,117.78,1
-3.72,101.52,3
-0.08,123.02,1
-0.31,122.84,1
1.48,126.59,2
-10.47,118.62,3
-0.6,123.98,2
-7.18,129.71,3
-0.05,123.36,1
-8.17,108.1,1
-8.82,123.96,1
-6.44,103.24,3
-0.56,122.95,1
0.65,122.21,1
1.6,126.0,4
-8.48,111.51,1
1.34,121.57,1
2.52,128.07,3
-8.88,117.02,1
-0.22,133.14,1
0.51,123.64,5
-4.81,102.61,3
0.36,121.16,1
-3.0,127.98,3
-4.89,102.79,2
-9.36,114.82,1
-4.85,131.31,2
-0.32,122.95,1
-8.83,122.0,1
-3.01,128.04,1
0.23,97.52,1
-9.6,107.44,4
-8.94,124.1,2
1.41,99.44,1
-8.78,123.18,2
-2.87,135.65,3
-5.72,110.38,4
-11.01,116.17,2
0.53,99.32,1
0.17,125.88,1
-9.28,123.64,1
1.67,120.97,1
-0.04,123.25,1
-3.26,104.14,4
0.25,97.36,1
0.22,125.94,1
-0.35,123.15,1
0.68,121.59,1
-0.89,130.89,1
-1.25,98.88,1
-7.41,107.72,1
-6.0,106.3,1
0.28,121.51,1
-9.33,124.29,1
-7.86,105.93,1
-0.27,121.98,1
-2.75,127.83,1
-3.47,126.7,3
-9.41,107.32,2
-1.29,120.66,1
-9.21,119.06,2
0.25,129.57,2
2.38,98.96,2
-9.73,122.54,2
-9.75,124.44,2
-7.66,106.72,1
0.06,125.85,2
4.43,96.53,2
-9.65,122.99,2
-8.98,117.86,1
-9.3,117.48,1
-8.92,124.02,1
-8.77,120.45,2
-8.27,115.46,1
-2.18,119.03,4
-3.17,127.21,3
-0.45,119.82,3
-8.72,119.2,3
1.2,121.41,2
-10.26,124.72,1
5.0,94.3,4
-7.19,129.54,4
-9.06,124.37,1
1.96,98.92,1
-5.66,105.24,2
-3.17,129.53,2
-3.86,127.67,1
-4.41,138.42,4
-0.82,120.33,2
-0.96,122.82,1
0.58,98.19,2
-7.01,127.07,4
2.16,121.0,3
-8.66,118.36,1
-8.18,119.98,2
-0.12,122.95,1
-6.32,130.28,4
-0.23,122.47,1
-9.81,119.46,2
4.0,126.73,4
-6.35,101.93,3
-3.65,101.3,2
-7.94,117.59,1
-3.88,131.75,2
0.76,126.49,3
-5.29,120.9,1
1.68,123.02,1
-0.08,97.9,1
0.43,124.43,1
-6.41,132.72,5
-9.32,110.48,1
-7.29,106.6,1
-2.26,131.69,1
-8.51,108.82,1
0.29,122.12,1
-0.1,121.59,1
1.59,126.32,4
0.15,124.04,1
0.88,122.54,1
-0.57,131.27,1
0.86,121.81,1
0.11,121.8,1
-7.71,106.84,1
-11.08,118.52,2
-0.8,124.07,1
-2.46,131.87,1
-0.53,119.71,1
-2.62,129.4,1
0.16,123.81,2
-7.58,106.74,1
-1.33,99.19,1
1.99,121.55,1
-8.09,123.98,1
1.35,97.06,3
1.97,126.79,2
1.78,126.41,1
-1.32,120.46,1
-0.1,123.25,1
-7.82,108.04,1
0.9,126.55,2
-0.11,121.98,1
-0.05,122.11,1
-0.33,122.99,1
-10.52,116.36,1
1.09,126.9,2
1.13,122.71,1
-7.27,129.45,3
-9.57,124.84,1
-11.16,118.2,2
-3.55,129.9,2
-8.58,121.94,1
2.29,128.42,3
-6.59,128.5,4
-4.51,128.17,2
0.29,121.33,1
-7.32,129.48,3
-8.71,118.8,1
0.45,121.59,1
