Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
0.21,122.0,164,1530626294.0,1
-7.4,106.5,61,1519820126.0,1
-5.29,120.9,23,1516261418.0,1
0.84,124.18,255,1518185490.0,1
-9.1,117.75,78,1527724766.0,1
1.56,122.31,10,1519372565.0,1
-7.85,107.83,10,1518967282.0,1
-0.14,123.87,101,1530997364.0,1
-0.59,131.24,10,1515572155.0,1
-10.06,118.8,18,1518107987.0,1
0.82,125.75,10,1530286233.0,1
-9.43,117.74,26,1515879768.0,1
1.38,126.73,19,1519352329.0,1
0.26,122.43,132,1519793321.0,1
-7.81,107.25,26,1528521027.0,1
-5.08,102.38,18,1518340126.0,1
1.96,99.03,10,1519405262.0,1
-8.42,117.7,10,1532223312.0,1
-8.71,116.37,19,1532864531.0,1
-9.71,118.68,46,1518716282.0,1
-8.66,116.43,10,1533236881.0,1
1.43,124.66,212,1516700408.0,1
-8.82,116.27,13,1532894159.0,1
-9.25,124.98,13,1519639679.0,1
0.81,126.19,10,1533297056.0,1
0.26,122.48,10,1514954669.0,1
0.72,122.26,65,1516512152.0,1
-8.51,108.82,53,1516287246.0,1
-1.26,120.76,10,1518180330.0,1
-3.27,103.01,156,1519754900.0,1
0.42,98.38,22,1526623783.0,1
-8.43,116.64,10,1532942452.0,1
-7.71,106.84,19,1516341227.0,1
0.09,132.35,10,1515855539.0,1
1.04,122.77,38,1531993910.0,1
0.21,121.74,184,1528868117.0,1
-8.85,116.45,20,1533151485.0,1
-8.75,116.18,36,1532912365.0,1
0.0,122.96,10,1519826831.0,1
-8.35,107.89,10,1533032191.0,1
1.5,98.93,93,1517726025.0,1
-8.29,116.5,10,1532982880.0,1
0.93,121.83,30,1515297942.0,1
-8.77,116.33,10,1532837982.0,1
-8.44,108.79,55,1532846662.0,1
-0.55,121.82,10,1518336069.0,1
0.05,122.52,12,1528623398.0,1
-8.39,123.12,10,1519411526.0,1
-8.57,116.46,10,1532826074.0,1
0.19,97.59,15,1517447141.0,1
-8.43,116.49,10,1532795272.0,1
-0.25,122.7,59,1529987339.0,1
-1.73,105.35,10,1528458625.0,1
-7.58,120.19,366,1519805103.0,1
-0.07,123.46,141,1519227394.0,1
-8.88,116.41,18,1533099136.0,1
-8.94,116.0,10,1532966662.0,1
0.71,124.68,10,1519617482.0,1
-7.41,107.72,10,1516020039.0,1
0.71,122.52,10,1519804260.0,1
-8.45,116.42,10,1532980815.0,1
-1.69,132.61,10,1518250544.0,1
-8.43,116.49,10,1532908287.0,1
-8.9,116.9,10,1519160722.0,1
-0.76,131.28,24,1525567764.0,1
-3.22,128.16,14,1514922480.0,1
2.06,98.96,10,1519524694.0,1
-0.26,123.03,86,1516877240.0,1
-8.35,116.64,19,1532981194.0,1
-8.87,116.89,10,1533302564.0,1
-0.02,123.13,82,1530928233.0,1
-3.16,119.64,10,1528492449.0,1
-7.94,107.09,32,1519523908.0,1
1.8,123.13,10,1530613828.0,1
-8.79,116.28,12,1532800590.0,1
-8.22,115.54,10,1529755389.0,1
-10.11,124.46,10,1518185257.0,1
1.85,126.69,10,1516695649.0,1
1.24,125.08,41,1518179978.0,1
-7.18,106.91,10,1528106098.0,1
-8.27,116.45,10,1532823554.0,1
1.96,98.92,59,1516179562.0,1
-8.82,116.3,10,1532848864.0,1
-8.9,116.27,10,1533123589.0,1
-1.46,119.98,10,1519808921.0,1
-6.73,106.59,10,1529755430.0,1
-8.82,116.22,14,1532839530.0,1
0.16,122.96,109,1527590581.0,1
-8.79,116.49,16,1532854013.0,1
-8.07,107.4,23,1529404560.0,1
