Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-1.39,120.34,10,1515282419.0,1
-4.61,129.49,208,1515287925.0,2
4.11,126.69,14,1515288769.0,3
-5.71,129.31,354,1515290348.0,3
2.46,96.07,54,1515296749.0,1
0.93,121.83,30,1515297942.0,1
4.25,126.71,11,1515298547.0,3
0.13,122.35,98,1515298907.0,1
-8.61,118.31,123,1515308168.0,1
-0.99,131.19,17,1515310344.0,1
-1.42,120.41,10,1515311202.0,1
4.09,126.6,10,1515311464.0,3
-7.92,117.3,30,1515316729.0,1
-3.51,131.37,68,1515317349.0,1
-3.44,131.35,52,1515318183.0,1
0.1,121.94,157,1515322965.0,1
-1.35,120.4,10,1515328966.0,1
1.81,122.34,36,1515333436.0,1
-6.73,104.86,20,1515333829.0,2
0.1,98.77,10,1515334225.0,1
1.8,96.95,41,1515341386.0,3
-8.24,117.56,239,1515344365.0,1
-3.39,131.25,28,1515347835.0,2
4.28,94.89,10,1515353412.0,4
-8.59,119.03,10,1515355143.0,1
-9.95,124.2,10,1515357880.0,1
0.47,121.64,65,1515360885.0,1
-6.51,104.77,10,1515369786.0,2
0.33,122.78,10,1515370543.0,1
-0.11,132.73,24,1515373513.0,2
-8.99,114.96,10,1515373714.0,1
0.44,121.29,65,1515373768.0,3
-3.29,131.2,20,1515374025.0,3
-8.69,118.35,113,1515374741.0,1
-2.96,118.62,10,1515374768.0,1
-8.46,108.44,21,1515374987.0,2
-0.8,130.99,10,1515376627.0,1
-9.08,121.99,10,1515377301.0,1
-3.4,131.15,49,1515378186.0,1
1.91,123.9,287,1515378706.0,3
-9.58,117.51,24,1515382205.0,2
-3.66,138.37,62,1515382865.0,3
3.24,128.18,128,1515388435.0,3
0.05,122.23,122,1515391263.0,1
0.52,121.17,58,1515392016.0,1
0.86,122.63,23,1515392710.0,1
-7.91,118.75,14,1515392894.0,1
0.9,122.71,50,1515395294.0,1
2.83,126.81,50,1515395389.0,5
-1.28,120.42,10,1515400715.0,1
2.55,95.78,16,1515401464.0,4
1.02,121.05,10,1515412480.0,1
-2.31,128.11,65,1515415570.0,2
-6.88,129.83,201,1515417443.0,4
0.61,122.3,52,1515418640.0,1
0.59,121.87,173,1515423434.0,1
1.87,121.86,10,1515424272.0,1
-0.3,124.84,10,1515425384.0,2
-9.23,114.54,139,1515426788.0,1
1.27,121.34,10,1515444968.0,1
-5.46,103.46,26,1515446236.0,1
-3.87,133.77,18,1515451206.0,3
-2.45,120.96,10,1515451362.0,1
-3.56,131.42,17,1515453153.0,3
-5.79,131.04,76,1515462870.0,3
-10.42,112.26,10,1515464398.0,3
-10.89,112.2,10,1515464623.0,3
-4.2,129.43,149,1515469404.0,2
-7.81,122.2,301,1515475906.0,2
-3.59,119.26,12,1515478266.0,1
-0.5,125.53,12,1515481363.0,3
3.87,127.13,10,1515481946.0,3
-2.76,129.49,67,1515486961.0,2
0.22,125.92,56,1515488323.0,2
0.4,120.66,81,1515492950.0,1
-8.72,118.12,10,1515493085.0,1
-8.71,118.13,10,1515493172.0,1
3.07,126.44,31,1515495510.0,2
-7.81,118.1,29,1515496468.0,1
0.57,122.04,89,1515500598.0,2
-10.01,119.2,13,1515520677.0,2
1.01,123.25,10,1515522624.0,1
-0.71,131.06,10,1515524657.0,1
-2.36,102.3,185,1515527007.0,2
-11.25,115.02,10,1515529636.0,4
-0.38,125.58,10,1515530309.0,3
-9.65,123.06,17,1515530508.0,1
-7.75,106.64,59,1515532320.0,1
-7.04,105.75,48,1515534332.0,2
-10.23,116.41,26,1515534924.0,2
1.36,128.63,10,1515535183.0,3
0.12,125.89,10,1515535713.0,1
-7.49,106.82,100,1515550674.0,1
-0.02,122.14,110,1515552661.0,1
4.29,94.98,58,1515557315.0,3
2.3,126.8,49,1515559257.0,4
-8.28,120.21,181,1515559962.0,2
-10.66,112.22,10,1515561330.0,3
-0.38,123.18,51,1515562133.0,1
-0.01,126.8,29,1515562560.0,1
-10.5,112.29,10,1515562855.0,3
1.78,122.38,28,1515564260.0,1
-8.91,109.11,26,1515564780.0,4
-7.91,117.58,297,1515565184.0,2
-9.59,121.89,16,1515565964.0,2
-8.87,116.91,12,1515566736.0,1
1.36,125.74,22,1515568156.0,1
-0.59,130.83,31,1515568764.0,1
-5.21,130.06,217,1515570713.0,2
-8.48,117.94,146,1515571511.0,2
-1.08,130.84,10,1515572033.0,1
-0.59,131.24,10,1515572155.0,1
-3.31,127.01,10,1515573739.0,1
0.91,125.47,18,1515576965.0,1
-8.62,118.14,10,1515580362.0,1
-0.93,130.57,12,1515580409.0,1
-0.15,130.39,53,1515581522.0,1
-3.36,127.0,10,1515582123.0,1
-7.9,117.47,11,1515582383.0,3
-0.76,131.46,10,1515583413.0,1
-3.35,135.4,72,1515589179.0,2
1.18,98.91,87,1515592417.0,3
1.3,121.38,10,1515601916.0,1
-3.33,99.48,43,1515604929.0,3
-9.72,121.58,104,1515611025.0,4
-4.98,127.05,33,1515611980.0,3
-4.23,129.62,10,1515615828.0,2
1.22,121.74,16,1515627027.0,1
-0.47,131.84,10,1515638304.0,2
-2.42,121.3,10,1515638541.0,1
-7.52,128.66,174,1515638591.0,4
-4.43,129.78,174,1515641460.0,3
-7.25,106.8,84,1515642448.0,2
-8.85,118.94,101,1515642475.0,2
3.92,126.6,29,1515645379.0,3
1.18,121.76,10,1515650946.0,1
-8.64,118.33,120,1515654229.0,3
0.93,121.16,32,1515655394.0,1
-9.1,117.68,36,1515667085.0,2
-3.28,131.03,26,1515669563.0,2
0.5,122.33,71,1515670442.0,3
-0.26,122.78,10,1515672503.0,1
1.47,122.2,10,1515674775.0,2
3.23,98.3,110,1515675892.0,3
1.7,126.13,10,1515679814.0,3
0.6,122.32,58,1515679968.0,1
-0.98,131.06,11,1515683844.0,1
0.01,126.98,103,1515684349.0,2
-0.04,122.98,146,1515685747.0,1
1.84,126.46,10,1515696547.0,3
1.76,98.27,15,1515698298.0,1
-9.38,114.14,10,1515706937.0,2
-0.24,99.45,10,1515710279.0,1
-5.51,129.31,274,1515712394.0,4
1.05,124.08,10,1515715776.0,1
-0.11,123.11,98,1515716629.0,1
0.5,98.1,21,1515718235.0,3
-3.34,131.22,32,1515727498.0,3
-8.48,123.82,10,1515737368.0,1
-3.49,134.4,49,1515740279.0,2
0.97,121.99,29,1515741056.0,1
-3.59,127.82,12,1515746727.0,1
-0.11,122.84,140,1515749092.0,1
2.69,128.47,236,1515750646.0,3
-10.13,122.88,65,1515768544.0,4
-6.61,129.46,25,1515777094.0,4
-8.62,116.28,57,1515780662.0,1
0.78,121.26,10,1515782592.0,1
2.55,98.98,151,1515785996.0,2
-0.61,131.45,13,1515787701.0,1
-0.48,124.11,10,1515788003.0,1
-9.91,121.74,53,1515789249.0,1
-0.48,125.15,10,1515791773.0,1
-1.81,129.94,10,1515796245.0,1
-2.56,126.86,10,1515796691.0,3
0.07,123.41,13,1515797537.0,1
-7.84,128.67,10,1515797591.0,4
-0.44,125.29,10,1515797961.0,2
-3.66,101.67,10,1515799056.0,2
-5.06,102.96,69,1515802286.0,4
1.86,98.57,10,1515811112.0,1
-7.73,123.97,227,1515820145.0,1
-1.29,120.48,10,1515821335.0,1
-8.32,109.03,29,1515823312.0,1
-9.09,111.88,60,1515824495.0,2
5.33,94.38,93,1515826977.0,4
-0.28,122.95,20,1515827757.0,1
-7.85,107.3,27,1515833817.0,2
3.6,126.81,14,1515847379.0,2
0.09,132.35,10,1515855539.0,1
-8.35,119.58,10,1515856626.0,1
-0.32,126.91,23,1515857088.0,1
-0.67,127.92,58,1515857284.0,1
0.36,122.03,24,1515865760.0,1
-0.43,119.28,44,1515866047.0,1
-9.68,115.97,18,1515868377.0,1
-8.6,124.83,10,1515870894.0,1
-4.17,123.36,60,1515875857.0,3
-6.21,130.61,172,1515875964.0,2
-0.13,123.02,96,1515876078.0,1
0.46,122.46,11,1515877907.0,1
-9.43,117.74,26,1515879768.0,1
-9.38,117.78,25,1515879894.0,1
-3.72,101.52,45,1515880438.0,3
-0.08,123.02,139,1515886713.0,1
-0.31,122.84,55,1515890869.0,1
1.48,126.59,10,1515892128.0,2
-10.47,118.62,103,1515901855.0,3
-0.6,123.98,13,1515903500.0,2
-7.18,129.71,162,1515909006.0,3
-0.05,123.36,116,1515910815.0,1
-8.17,108.1,26,1515911672.0,1
-8.82,123.96,94,1515923982.0,1
-6.44,103.24,64,1515931915.0,3
-0.56,122.95,49,1515935128.0,1
0.65,122.21,84,1515935830.0,1
1.6,126.0,82,1515941087.0,4
-8.48,111.51,11,1515942416.0,1
1.34,121.57,10,1515943404.0,1
2.52,128.07,127,1515950005.0,3
-8.88,117.02,15,1515950174.0,1
-0.22,133.14,10,1515952012.0,1
0.51,123.64,242,1515972711.0,5
-4.81,102.61,36,1515979434.0,3
0.36,121.16,10,1515982681.0,1
-3.0,127.98,19,1515985551.0,3
-4.89,102.79,33,1515988796.0,2
-9.36,114.82,10,1515988962.0,1
-4.85,131.31,10,1515989595.0,2
-0.32,122.95,12,1515990974.0,1
-8.83,122.0,10,1515993268.0,1
-3.01,128.04,10,1515999785.0,1
0.23,97.52,14,1516000374.0,1
-9.6,107.44,27,1516000501.0,4
-8.94,124.1,108,1516001848.0,2
1.41,99.44,10,1516005598.0,1
-8.78,123.18,141,1516006542.0,2
-2.87,135.65,16,1516006840.0,3
-5.72,110.38,529,1516007470.0,4
-11.01,116.17,10,1516009634.0,2
0.53,99.32,265,1516009796.0,1
0.17,125.88,10,1516010914.0,1
-9.28,123.64,50,1516010944.0,1
1.67,120.97,10,1516011481.0,1
