Lintang,Bujur,Kedalaman(KM),Magnitudo(SR),Timestamp
3.98,95.07,64,3.6,1516812318.0
1.77,126.51,12,4.2,1516819774.0
-4.43,102.17,10,3.8,1516827441.0
-8.21,123.23,198,3.8,1516844298.0
-1.27,130.94,10,2.3,1516845140.0
-6.56,106.55,10,2.7,1516850180.0
-0.11,125.26,18,3.5,1516857464.0
-3.33,131.2,30,4.1,1516857902.0
1.59,121.41,10,2.4,1516860001.0
-2.01,123.92,10,4.5,1516862018.0
-8.96,124.25,10,2.8,1516867148.0
-1.09,128.6,14,3.6,1516867316.0
-7.09,106.2,25,2.9,1516867917.0
0.75,100.05,10,3.4,1516871255.0
-0.42,132.19,24,3.6,1516874249.0
-2.1,126.18,30,3.9,1516875648.0
-0.26,123.03,86,2.8,1516877240.0
-0.2,132.17,88,2.8,1516879023.0
1.46,122.17,10,2.7,1516879896.0
-2.8,128.06,16,3.5,1516883027.0
0.66,121.2,23,1.9,1516887237.0
-7.11,106.08,19,3.3,1516898842.0
-0.04,123.16,135,2.9,1516899473.0
-0.23,122.93,55,3.5,1516900742.0
-4.2,129.31,17,3.9,1516905258.0
-3.14,130.58,10,3.8,1516911152.0
-1.37,120.57,10,4.3,1516913324.0
-1.19,119.87,10,3.6,1516915346.0
-1.48,119.96,177,2.8,1516916172.0
-7.19,106.05,30,5.2,1516916905.0
0.32,97.99,39,2.5,1516918034.0
-3.12,130.52,10,3.6,1516933162.0
-2.9,130.2,24,3.2,1516933974.0
-7.19,106.04,30,5.0,1516936370.0
-9.52,110.14,10,3.6,1516936963.0
-1.13,126.86,21,5.3,1516938227.0
-4.32,134.17,18,4.6,1516940327.0
-7.37,106.9,96,3.0,1516945202.0
-1.07,126.8,10,3.1,1516945667.0
-7.25,105.9,10,3.5,1516946494.0
-1.23,126.98,12,3.3,1516950486.0
-7.28,106.15,25,2.5,1516952594.0
-3.1,130.51,13,3.6,1516953239.0
-8.17,118.83,10,3.7,1516953307.0
-4.75,102.62,49,3.8,1516960610.0
0.39,124.45,96,3.9,1516961348.0
-1.17,126.79,10,3.9,1516968337.0
-8.01,106.96,31,3.3,1516996440.0
-3.1,130.55,10,3.4,1516996775.0
-7.13,106.06,21,3.8,1516998961.0
-6.41,130.54,142,4.7,1517008274.0
0.64,119.94,10,3.5,1517009598.0
3.09,97.37,29,3.3,1517015066.0
-7.63,108.99,175,3.7,1517015484.0
-0.74,124.34,21,3.7,1517035249.0
-8.59,118.76,125,4.5,1517042571.0
-1.28,120.77,10,3.8,1517067312.0
3.7,96.38,34,4.5,1517068398.0
-9.95,119.2,37,4.3,1517069947.0
0.76,122.65,16,2.8,1517071189.0
-9.91,119.25,22,4.0,1517074118.0
0.67,97.26,31,3.1,1517078247.0
0.44,122.01,182,2.4,1517100459.0
0.59,123.68,234,3.3,1517101016.0
-7.86,106.16,10,3.3,1517104973.0
-8.77,123.25,11,3.1,1517105100.0
-7.01,106.2,19,3.1,1517114580.0
-1.81,99.68,10,3.5,1517115165.0
-3.18,119.68,18,2.7,1517132919.0
-3.2,130.55,10,3.9,1517144716.0
-3.17,130.53,16,3.9,1517148859.0
-6.01,105.47,10,3.3,1517164224.0
-5.6,131.06,67,4.6,1517165283.0
0.73,121.48,32,2.3,1517177669.0
-6.66,105.32,120,4.7,1517182539.0
-9.55,118.8,34,3.5,1517183697.0
-3.14,130.54,10,3.8,1517190132.0
-0.16,123.23,143,3.1,1517198864.0
-9.85,124.52,50,3.4,1517198927.0
-0.13,123.4,126,3.2,1517202327.0
-3.09,130.55,10,3.8,1517209269.0
0.41,122.09,181,2.4,1517210089.0
0.05,131.86,19,3.9,1517214279.0
-2.48,121.37,10,3.8,1517214404.0
-2.78,139.52,82,5.0,1517217952.0
0.28,121.62,149,2.9,1517220526.0
3.09,128.85,13,4.5,1517220793.0
-7.69,112.59,182,3.4,1517224442.0
-6.54,105.34,19,4.3,1517227414.0
-7.09,106.1,33,2.8,1517231219.0
-2.49,121.28,10,3.2,1517237985.0
-7.15,106.06,31,3.0,1517241767.0
-4.22,102.45,32,4.0,1517243957.0
0.54,98.56,10,4.4,1517263231.0
-8.81,116.03,100,3.3,1517275401.0
-7.2,106.23,25,3.0,1517276462.0
-7.94,107.0,28,3.5,1517276562.0
-8.18,108.35,39,2.6,1517281037.0
-6.01,130.62,91,4.4,1517284635.0
-1.53,105.55,10,3.6,1517289410.0
-6.45,104.59,25,4.1,1517290165.0
-7.45,128.64,139,4.6,1517291555.0
-8.23,118.66,180,4.0,1517294197.0
-6.99,129.9,182,4.3,1517301424.0
-9.36,114.16,42,3.1,1517301674.0
0.49,123.63,219,3.2,1517302125.0
-11.59,122.33,13,4.1,1517302550.0
0.4,125.25,10,3.2,1517305314.0
0.61,122.01,71,3.2,1517309093.0
-5.78,103.65,10,4.2,1517309695.0
-1.39,120.69,10,2.9,1517312853.0
-9.46,112.83,10,3.4,1517313888.0
-7.57,128.17,205,4.1,1517314505.0
-1.45,99.74,10,2.3,1517316106.0
-6.91,130.18,149,4.6,1517316351.0
-0.83,131.25,20,1.8,1517316979.0
-0.34,100.48,10,3.3,1517317321.0
1.1,98.76,82,2.7,1517326835.0
1.54,100.97,10,3.5,1517327442.0
-1.75,100.43,82,3.3,1517328911.0
-0.17,122.86,14,2.6,1517328913.0
2.06,96.5,41,3.4,1517329923.0
-7.9,118.78,28,4.6,1517334935.0
-7.9,118.81,26,5.3,1517338833.0
-7.88,118.74,33,3.6,1517353275.0
2.34,98.83,24,3.0,1517361619.0
-8.54,114.0,10,3.1,1517369623.0
-8.27,119.49,10,3.8,1517379957.0
0.4,125.27,10,3.5,1517381711.0
-9.59,116.35,10,3.6,1517391229.0
-1.89,100.7,10,4.1,1517403303.0
-9.33,113.89,12,3.6,1517409915.0
-3.17,130.55,10,2.9,1517411043.0
-8.2,117.64,19,4.2,1517412956.0
-1.03,121.2,10,2.8,1517439169.0
-4.64,125.43,488,4.3,1517440840.0
-4.61,125.38,486,4.4,1517440840.0
0.19,97.59,15,3.2,1517447141.0
-0.31,125.35,10,4.4,1517452735.0
-1.29,120.49,10,3.8,1517479262.0
-3.22,130.52,10,3.4,1517479565.0
-7.8,106.46,14,4.0,1517485627.0
3.39,126.01,51,3.7,1517486784.0
-0.19,124.61,10,3.4,1517491226.0
-8.29,116.73,13,4.4,1517497360.0
-6.53,128.63,319,4.6,1517498887.0
-0.16,125.2,58,5.6,1517505642.0
-0.24,125.21,26,3.6,1517507274.0
0.86,126.36,10,3.9,1517518535.0
-5.25,133.96,27,5.4,1517525013.0
-7.95,115.84,21,4.7,1517525953.0
-8.99,123.38,97,3.7,1517527352.0
-6.27,130.44,184,4.9,1517532176.0
0.08,124.4,28,3.3,1517534067.0
-0.84,131.06,10,1.4,1517551085.0
-9.62,117.38,19,3.7,1517551208.0
0.99,126.12,12,3.6,1517554761.0
-2.28,125.92,10,3.1,1517556782.0
-8.09,106.03,10,3.3,1517557382.0
-7.63,128.44,171,4.3,1517559101.0
-2.66,127.2,24,3.1,1517559898.0
-8.36,115.97,10,2.6,1517559976.0
1.04,118.86,13,3.0,1517560912.0
-0.43,122.97,13,2.7,1517565476.0
-1.22,126.97,10,3.6,1517566039.0
5.32,96.18,10,3.6,1517568178.0
-1.58,130.73,10,2.7,1517569344.0
-10.26,117.51,10,3.6,1517571502.0
-9.35,114.01,13,3.2,1517573462.0
-0.65,131.16,17,2.5,1517574677.0
-1.31,120.54,10,3.9,1517575914.0
-7.6,128.71,126,4.6,1517585154.0
-2.71,127.82,10,3.2,1517593238.0
-11.34,117.59,22,3.6,1517594335.0
-7.07,106.46,35,3.1,1517595133.0
0.33,120.65,16,2.2,1517602811.0
-7.59,121.21,424,3.7,1517602907.0
-3.14,99.33,33,3.8,1517606758.0
-6.92,129.63,166,4.7,1517606968.0
-6.17,119.67,10,4.6,1517607881.0
-2.71,128.92,18,3.5,1517613256.0
-9.31,112.86,29,3.3,1517623765.0
-0.51,124.49,10,3.8,1517625398.0
1.22,126.13,12,3.6,1517628005.0
-7.69,127.78,146,4.9,1517639821.0
-6.37,130.49,248,4.5,1517642453.0
2.13,96.38,12,3.7,1517644446.0
-0.05,99.26,10,2.7,1517651320.0
0.58,121.75,76,1.9,1517655337.0
-0.8,131.04,10,2.1,1517655709.0
1.02,126.34,21,3.1,1517656331.0
-9.26,124.8,11,3.1,1517664848.0
-7.19,106.19,39,2.8,1517664996.0
-7.26,105.95,10,4.5,1517665758.0
1.23,98.97,88,4.0,1517673044.0
1.08,97.55,19,2.6,1517673622.0
-1.27,99.68,40,4.8,1517675033.0
-0.75,131.26,10,1.7,1517676314.0
-0.24,122.54,10,2.5,1517680019.0
-1.77,130.49,10,3.0,1517692115.0
-7.87,107.36,21,2.4,1517693382.0
-8.47,117.31,105,2.1,1517693393.0
-7.71,127.69,137,4.3,1517695217.0
1.86,122.35,109,2.9,1517696205.0
-6.29,103.59,22,3.7,1517696473.0
-7.81,120.49,54,3.1,1517700861.0
-4.19,133.65,10,4.2,1517700964.0
-2.01,126.77,10,3.8,1517704646.0
-8.3,123.1,233,3.5,1517708804.0
-8.87,112.58,69,3.2,1517714171.0
0.82,122.74,14,3.4,1517715881.0
-7.99,108.61,87,3.0,1517719387.0
-0.95,130.62,14,2.9,1517722762.0
1.5,98.93,93,3.3,1517726025.0
-3.95,102.44,10,3.2,1517727147.0
-0.74,131.18,10,2.1,1517727318.0
-7.16,107.33,105,2.5,1517729969.0
-0.4,123.01,60,3.0,1517731219.0
-10.77,112.19,10,3.9,1517731618.0
-8.89,118.86,27,2.6,1517732354.0
-8.66,109.94,13,3.1,1517733031.0
-0.6,122.49,12,3.5,1517733450.0
-8.45,108.43,19,3.3,1517734433.0
1.85,121.96,10,2.5,1517734680.0
-0.77,99.47,10,3.4,1517735696.0
-7.8,118.81,22,3.4,1517738986.0
0.74,97.74,10,2.7,1517739100.0
1.6,127.27,111,3.5,1517739824.0
0.84,121.59,36,1.9,1517742182.0
1.01,120.47,10,2.4,1517743568.0
-1.05,100.17,61,2.7,1517746133.0
2.15,97.88,52,3.4,1517747146.0
-9.14,122.11,86,3.0,1517747331.0
-9.09,122.49,136,5.1,1517748905.0
0.68,124.26,25,2.9,1517750734.0
-2.27,126.83,25,3.0,1517755194.0
-6.06,122.75,10,3.8,1517764333.0
-4.25,102.41,37,4.3,1517769102.0
-2.17,101.76,157,3.7,1517770605.0
-3.98,130.08,27,3.8,1517777996.0
-5.19,129.98,224,4.4,1517779488.0
-8.1,123.99,176,3.1,1517782532.0
-7.29,106.88,10,2.6,1517788339.0
-7.12,106.15,30,3.0,1517788577.0
1.1,99.01,110,3.5,1517789839.0
-8.43,119.58,153,3.1,1517790933.0
-9.03,124.01,110,3.1,1517791529.0
-4.91,103.04,51,3.8,1517792773.0
-5.81,103.77,10,3.2,1517797268.0
-5.26,106.07,280,4.2,1517798189.0
1.29,121.37,13,2.6,1517811917.0
3.4,96.08,10,3.9,1517814612.0
0.95,121.39,10,2.4,1517815391.0
-6.12,119.76,10,3.1,1517815933.0
-7.22,107.72,12,2.7,1517818851.0
-3.81,129.61,54,3.3,1517832658.0
0.84,122.52,36,3.3,1517832999.0
-11.36,118.59,10,3.8,1517837644.0
-8.5,118.86,10,3.1,1517838723.0
-1.17,126.86,10,3.5,1517850526.0
0.13,122.22,125,4.0,1517853801.0
-7.55,128.46,145,4.7,1517854146.0
2.97,127.46,22,4.4,1517854495.0
-2.97,119.61,10,2.8,1517854845.0
-2.65,119.35,10,3.2,1517867199.0
-6.44,105.79,127,3.1,1517868008.0
-4.01,118.93,25,3.6,1517869341.0
-7.47,128.48,147,4.8,1517869988.0
-9.42,120.25,70,3.2,1517870034.0
0.59,126.14,10,4.1,1517876205.0
4.5,95.14,10,4.3,1517878393.0
1.45,123.06,10,3.9,1517884467.0
1.89,126.67,30,4.2,1517886525.0
1.03,121.9,10,2.9,1517888811.0
-8.14,106.86,10,2.9,1517889862.0
-11.47,114.24,88,3.8,1517900815.0
-8.66,117.9,10,2.9,1517902027.0
-8.67,117.93,10,2.0,1517902155.0
-0.6,122.41,10,2.9,1517904458.0
0.69,122.2,58,2.7,1517915356.0
0.47,126.59,10,3.1,1517917929.0
-0.68,131.49,26,2.3,1517918861.0
-0.21,125.64,10,3.2,1517918904.0
-0.23,125.63,10,3.5,1517921914.0
-2.8,102.32,174,3.5,1517922029.0
0.74,98.39,10,2.7,1517925194.0
-5.27,104.59,78,2.8,1517927057.0
-1.34,120.45,20,3.7,1517927252.0
-1.04,100.54,86,3.3,1517927606.0
-7.81,119.01,47,2.8,1517928247.0
-6.26,130.58,10,4.1,1517930376.0
0.65,121.74,75,1.9,1517931172.0
-8.68,116.93,150,4.5,1517951943.0
-0.57,131.26,10,3.5,1517979463.0
-7.44,128.19,211,4.2,1518007022.0
1.46,126.95,103,4.5,1518009778.0
-10.22,118.76,13,4.8,1518017320.0
-8.14,120.06,177,3.7,1518018888.0
-7.59,106.68,23,3.9,1518021782.0
-3.11,127.5,14,4.3,1518028407.0
-9.94,118.76,20,3.4,1518043791.0
-9.26,113.71,10,3.6,1518053500.0
-8.88,112.5,38,3.4,1518055849.0
-8.6,118.25,157,2.9,1518056446.0
4.68,96.23,10,5.0,1518058368.0
-9.21,119.01,27,3.6,1518058544.0
-0.77,98.55,12,3.5,1518059487.0
-8.31,110.33,75,3.4,1518064906.0
-1.01,99.78,91,3.1,1518069234.0
-9.98,118.84,20,3.6,1518080498.0
-2.32,121.48,10,2.4,1518081330.0
-0.25,124.55,29,3.2,1518089294.0
-3.25,127.95,44,3.1,1518089392.0
-5.79,105.57,19,3.2,1518090144.0
0.78,126.33,18,3.8,1518095649.0
-8.43,117.87,10,2.8,1518096502.0
-10.1,118.88,16,3.0,1518098131.0
-8.63,123.36,122,3.9,1518099126.0
-6.27,103.77,10,3.1,1518100361.0
-8.79,124.01,10,2.7,1518104700.0
-8.45,105.24,35,3.9,1518105725.0
-10.06,118.8,18,3.2,1518107987.0
-2.95,127.49,10,4.3,1518117753.0
1.69,95.34,70,4.4,1518120151.0
-0.09,123.73,96,3.8,1518122083.0
-3.03,127.63,22,3.9,1518123732.0
-7.77,117.2,17,3.2,1518123945.0
-2.93,100.75,38,4.0,1518124435.0
-7.75,117.25,17,4.0,1518124741.0
-3.91,130.44,126,3.6,1518131237.0
-0.26,123.76,112,3.9,1518132356.0
-8.93,113.68,14,4.2,1518135421.0
-2.44,121.41,10,4.0,1518143072.0
-2.61,126.76,10,2.8,1518148453.0
-6.04,104.61,67,3.8,1518148834.0
-0.19,123.43,137,3.8,1518151687.0
-1.71,99.33,78,4.2,1518155648.0
-2.89,127.33,70,3.6,1518157249.0
-9.11,123.85,72,2.1,1518158376.0
-10.37,124.61,24,3.8,1518161125.0
-7.57,128.37,114,3.9,1518168077.0
-8.77,111.81,43,3.6,1518169651.0
-9.49,124.08,55,2.7,1518170382.0
-6.82,125.12,530,4.1,1518177299.0
-2.63,105.01,10,4.0,1518179870.0
1.24,125.08,41,3.2,1518179978.0
-1.26,120.76,10,3.0,1518180330.0
-5.43,103.66,39,3.7,1518181003.0
-5.98,104.13,10,3.5,1518181722.0
-7.58,128.23,151,4.8,1518182264.0
-9.45,122.81,26,2.7,1518183250.0
-8.1,107.47,10,2.5,1518184869.0
-10.11,124.46,10,2.5,1518185257.0
0.84,124.18,255,3.0,1518185490.0
0.96,126.05,10,3.5,1518186131.0
-0.98,123.95,48,3.0,1518186464.0
-6.85,110.48,10,2.9,1518187104.0
-9.13,117.15,92,5.2,1518197479.0
-7.47,106.35,26,3.5,1518213406.0
-2.44,100.44,48,3.4,1518220928.0
-0.77,131.13,10,3.2,1518234019.0
-8.92,110.36,10,3.6,1518242545.0
-0.06,97.36,10,3.1,1518247116.0
0.93,126.85,15,4.1,1518247945.0
-1.69,132.61,10,2.9,1518250544.0
4.46,123.21,546,4.2,1518264082.0
-7.17,105.96,29,3.5,1518284179.0
-9.51,124.12,72,3.5,1518284298.0
-8.73,111.6,17,3.7,1518285939.0
-8.12,118.54,189,3.0,1518290376.0
-7.16,106.06,32,3.1,1518298558.0
-6.76,108.5,265,4.6,1518306532.0
-0.13,123.0,146,3.5,1518307060.0
2.13,128.38,78,5.0,1518307524.0
-10.0,118.81,10,3.0,1518314567.0
-8.4,116.64,285,3.6,1518315623.0
-8.3,120.28,189,3.5,1518329934.0
-2.44,120.96,10,3.1,1518334726.0
-0.55,121.82,10,2.4,1518336069.0
-0.14,123.33,114,4.4,1518339074.0
-5.08,102.38,18,2.7,1518340126.0
-9.61,118.26,20,2.4,1518345212.0
-8.91,114.59,52,2.4,1518347786.0
-0.56,121.89,12,2.5,1518349721.0
-9.62,113.9,25,2.6,1518351270.0
1.52,126.56,10,3.5,1518351632.0
2.87,126.61,45,4.4,1518353869.0
-2.64,126.04,10,3.7,1518354326.0
-8.5,108.66,62,2.7,1518371090.0
-8.3,117.97,158,3.0,1518372631.0
-8.41,119.7,171,4.6,1518377236.0
-9.13,107.55,10,2.9,1518380144.0
0.02,122.03,218,2.8,1518380969.0
-4.48,130.96,14,4.3,1518386370.0
-2.32,101.21,74,3.9,1518387364.0
-9.95,107.12,10,3.8,1518388381.0
-7.03,106.17,11,3.1,1518389362.0
2.89,97.51,17,3.0,1518390708.0
-3.53,127.38,29,3.5,1518398472.0
-9.51,115.12,21,3.2,1518403095.0
-9.29,106.8,10,4.0,1518403756.0
-2.14,100.62,60,4.5,1518404213.0
-8.26,117.96,170,3.9,1518406323.0
-0.08,125.03,13,3.6,1518417771.0
-5.99,102.61,44,4.6,1518424699.0
1.23,121.4,10,2.7,1518427906.0
-0.53,121.85,10,3.2,1518430776.0
4.7,96.3,13,3.0,1518431358.0
-0.09,123.19,150,3.3,1518432207.0
-9.12,110.31,11,4.0,1518432741.0
0.63,125.12,54,3.2,1518433051.0
-2.85,121.56,10,3.1,1518436394.0
0.46,122.08,169,2.3,1518436484.0
-4.86,101.05,49,4.1,1518437741.0
0.54,126.45,24,3.3,1518438088.0
-0.68,131.12,10,2.6,1518438228.0
-9.06,113.73,30,3.3,1518438230.0
-7.23,108.42,11,2.2,1518441447.0
-5.33,102.64,14,2.8,1518444832.0
-0.05,123.39,131,2.7,1518447281.0
-3.2,131.2,18,3.2,1518450162.0
-0.12,122.97,137,2.7,1518453570.0
2.98,124.43,319,4.2,1518455055.0
-8.95,117.22,124,3.0,1518455878.0
-9.48,126.29,73,4.6,1518457856.0
-9.74,116.89,10,3.6,1518457936.0
3.0,125.76,177,4.9,1518464066.0
-9.01,112.83,22,3.6,1518465322.0
0.45,126.22,10,3.3,1518468956.0
1.11,120.39,10,2.3,1518474801.0
1.79,127.19,27,4.8,1518474899.0
-7.38,123.37,526,4.2,1518475492.0
0.63,123.86,251,4.0,1518480617.0
-0.76,99.45,12,3.8,1518481300.0
4.22,126.85,10,4.6,1518494433.0
-9.38,118.1,39,3.7,1518495498.0
-2.79,120.93,36,2.8,1518501969.0
-6.28,130.45,133,4.8,1518502484.0
-1.77,121.12,10,3.0,1518502560.0
-9.03,122.48,72,2.9,1518506951.0
2.52,126.9,10,4.0,1518508267.0
-9.65,119.73,58,3.2,1518513602.0
-7.63,128.33,223,4.3,1518520585.0
-6.12,105.68,174,4.6,1518532004.0
-8.34,108.12,24,3.6,1518539521.0
-6.02,133.72,26,5.2,1518541531.0
0.28,96.82,48,3.8,1518559778.0
-0.12,97.31,14,4.7,1518561963.0
-7.18,106.88,10,3.5,1518566304.0
-9.05,119.03,35,3.0,1518570219.0
4.76,96.17,10,3.1,1518571589.0
-8.86,119.02,113,2.3,1518573926.0
-0.08,123.58,124,3.3,1518575326.0
-9.57,119.47,53,3.0,1518576698.0
-7.28,123.46,556,4.4,1518578345.0
-7.52,128.14,155,4.6,1518579729.0
-8.27,114.84,10,2.8,1518588263.0
-8.37,122.8,11,2.9,1518594816.0
-10.18,105.17,10,3.9,1518595556.0
0.36,126.53,15,3.8,1518596172.0
-6.34,103.67,10,3.6,1518612837.0
1.83,124.44,297,3.3,1518612919.0
-7.25,106.06,33,3.7,1518613859.0
-4.8,102.91,190,3.8,1518614450.0
3.71,96.59,33,4.5,1518614892.0
-1.3,120.55,10,4.9,1518618534.0
-8.62,125.43,10,4.3,1518622146.0
-1.29,120.46,10,4.5,1518622431.0
-1.76,100.44,55,3.6,1518629753.0
-7.05,106.48,129,3.6,1518649182.0
-9.99,119.27,18,3.5,1518682822.0
-9.39,114.86,42,3.4,1518684137.0
0.83,121.34,31,2.6,1518684713.0
0.37,122.07,120,2.2,1518687108.0
1.77,122.34,10,3.8,1518694516.0
-5.11,102.88,50,4.7,1518702113.0
-9.71,118.68,46,3.0,1518716282.0
-0.64,131.21,10,2.2,1518717624.0
-7.81,105.93,10,3.8,1518718451.0
-9.3,115.43,55,4.5,1518723433.0
-6.78,128.08,384,4.6,1518725836.0
-7.29,106.25,10,3.0,1518726084.0
-7.76,106.0,10,4.1,1518731778.0
-7.72,105.95,30,4.8,1518732784.0
-7.55,106.14,10,2.9,1518733631.0
-3.33,128.56,10,3.9,1518740936.0
-4.04,129.53,44,5.3,1518745221.0
-0.52,123.65,11,3.4,1518747399.0
-5.56,131.05,123,4.2,1518749349.0
-7.72,106.32,64,3.8,1518749692.0
-3.32,128.57,10,3.6,1518750033.0
-4.04,129.5,11,4.5,1518750431.0
-7.84,106.48,46,5.0,1518762489.0
-7.52,106.02,27,2.8,1518770398.0
-4.1,103.1,10,3.7,1518772439.0
-7.76,105.88,41,4.6,1518774763.0
-7.75,105.93,30,3.9,1518775440.0
-8.77,118.75,102,3.7,1518779852.0
-9.83,119.44,18,4.3,1518783123.0
0.48,121.66,67,2.8,1518783165.0
-5.36,119.77,29,2.7,1518795190.0
-8.92,117.71,10,3.7,1518795943.0
-0.26,121.95,21,2.7,1518797651.0
-9.63,117.7,79,4.9,1518802106.0
-7.66,128.08,124,4.9,1518807341.0
0.42,121.64,90,3.5,1518813794.0
3.43,126.84,55,4.6,1518820258.0
-0.58,133.82,59,4.7,1518831132.0
1.18,121.0,12,3.3,1518839176.0
-1.28,120.47,10,3.9,1518849900.0
4.13,95.54,18,3.6,1518850073.0
-1.29,120.58,10,3.8,1518858669.0
-6.01,105.46,10,3.7,1518859049.0
-5.98,105.45,10,3.2,1518859215.0
-4.54,102.61,26,3.9,1518859400.0
-6.23,133.22,47,4.4,1518860024.0
-8.89,111.48,29,3.5,1518864896.0
-9.15,111.73,26,3.4,1518865776.0
0.33,123.38,199,3.1,1518867374.0
-8.97,110.95,53,4.8,1518868588.0
-5.89,102.87,48,4.5,1518871937.0
-2.27,122.45,10,4.0,1518878440.0
-7.22,105.85,42,4.4,1518881102.0
-7.25,107.71,10,2.9,1518881620.0
-6.42,130.91,102,4.6,1518891730.0
-6.19,127.25,454,4.6,1518893290.0
-0.46,124.06,13,3.6,1518893955.0
0.63,122.19,82,4.1,1518897460.0
-3.46,101.72,30,3.6,1518900317.0
-9.07,118.38,59,3.5,1518902241.0
-7.57,106.72,29,4.4,1518903614.0
-4.91,130.49,130,5.3,1518904042.0
-6.03,100.89,10,5.1,1518912283.0
-6.87,105.44,10,4.1,1518914854.0
0.3,122.34,86,4.0,1518915539.0
-9.49,117.29,21,4.1,1518921089.0
-8.45,119.75,177,4.0,1518943389.0
-7.17,106.06,26,3.2,1518946539.0
-0.27,122.95,66,4.0,1518947084.0
-8.36,111.43,105,3.5,1518953848.0
-7.04,107.01,10,2.3,1518954272.0
-8.91,110.95,10,3.8,1518957363.0
-7.81,106.04,28,3.0,1518958009.0
-3.94,129.54,10,3.2,1518964734.0
-9.49,111.91,10,3.8,1518966317.0
-7.85,107.83,10,2.2,1518967282.0
-3.78,101.69,29,3.0,1518968116.0
-7.86,107.04,30,2.6,1518977263.0
3.17,98.32,10,3.6,1518980044.0
-6.86,108.01,10,2.8,1518988742.0
-7.96,117.36,10,3.6,1518993953.0
-9.12,116.32,56,3.0,1518995919.0
0.02,122.34,143,2.2,1519002562.0
-7.99,123.7,186,3.7,1519003860.0
-0.34,122.98,19,2.4,1519005362.0
-4.75,132.39,64,5.5,1519011517.0
3.18,128.1,140,4.5,1519016693.0
-7.16,106.1,32,3.8,1519021326.0
2.25,128.37,228,4.1,1519024914.0
1.77,124.3,296,3.1,1519028609.0
-8.36,118.62,199,3.6,1519029150.0
4.48,127.02,280,4.2,1519029736.0
-1.85,100.4,29,4.2,1519031048.0
-8.26,118.83,113,3.3,1519032663.0
-3.1,130.55,10,3.5,1519033680.0
-9.22,119.71,11,3.5,1519045401.0
-0.12,123.77,115,3.5,1519046809.0
-7.52,127.81,110,4.2,1519047129.0
-7.89,106.5,10,3.8,1519047393.0
0.81,99.95,178,4.8,1519070959.0
2.58,133.04,18,4.7,1519081022.0
2.7,133.22,41,4.8,1519081103.0
-9.01,115.67,82,3.6,1519084779.0
-8.95,112.75,30,3.5,1519089788.0
-8.34,124.72,50,2.3,1519090578.0
-0.02,122.82,142,2.4,1519091433.0
-4.5,103.75,166,3.9,1519092040.0
1.48,124.39,222,5.1,1519093767.0
-8.29,125.01,35,2.6,1519097841.0
-8.41,124.51,50,3.0,1519097998.0
-1.32,127.18,10,3.0,1519109103.0
1.16,99.49,10,3.1,1519112327.0
-5.66,103.4,10,3.5,1519112403.0
-8.64,108.1,20,2.8,1519114695.0
1.37,126.25,10,3.3,1519117967.0
2.07,126.47,10,3.4,1519124764.0
-3.21,127.38,31,3.2,1519125642.0
-0.28,123.05,10,4.5,1519127424.0
-5.45,103.72,21,3.0,1519133277.0
-8.06,106.75,13,2.9,1519135876.0
-7.15,125.36,543,4.3,1519140111.0
1.0,98.77,80,4.8,1519144849.0
-7.84,112.55,10,2.9,1519145131.0
-0.71,127.2,60,5.0,1519146252.0
-1.29,130.86,20,2.8,1519147193.0
-10.49,120.35,17,4.3,1519147988.0
-10.52,120.4,15,3.9,1519148468.0
-10.5,115.59,34,4.9,1519152282.0
-5.26,131.66,28,4.3,1519157089.0
-8.9,116.9,10,2.1,1519160722.0
-3.61,139.51,55,4.3,1519161233.0
-0.07,124.2,20,3.4,1519166029.0
1.12,126.77,21,3.6,1519167172.0
2.36,98.94,135,3.8,1519170651.0
-10.2,119.04,19,2.9,1519171874.0
2.33,98.95,132,3.3,1519175799.0
-8.23,125.46,10,3.8,1519180110.0
-0.1,123.2,135,2.5,1519180809.0
-2.85,120.01,23,2.5,1519187814.0
-6.77,105.43,18,3.7,1519189193.0
-8.74,118.96,104,3.2,1519195777.0
-7.25,129.48,194,4.4,1519199586.0
-8.53,108.32,52,3.2,1519210119.0
-6.82,130.16,157,4.2,1519211160.0
-3.44,129.83,13,3.1,1519212629.0
-2.51,128.69,22,3.7,1519213826.0
-8.97,112.79,12,3.3,1519213919.0
-6.81,129.49,196,4.1,1519214211.0
-5.43,103.56,35,4.6,1519216246.0
4.95,95.94,10,3.7,1519218793.0
4.49,96.27,11,2.5,1519220378.0
-4.06,130.32,93,3.3,1519221076.0
-7.63,128.34,199,4.5,1519221368.0
-8.64,119.69,159,2.9,1519221804.0
-5.66,103.57,52,2.9,1519222229.0
-9.32,125.56,10,2.8,1519223252.0
-0.07,123.46,141,2.8,1519227394.0
2.61,122.3,555,3.8,1519228440.0
1.04,121.76,31,2.7,1519229490.0
-8.81,111.02,10,2.7,1519229581.0
-7.93,107.88,28,2.1,1519231529.0
-9.46,117.9,24,2.9,1519231558.0
-2.86,100.37,38,4.9,1519244732.0
-9.08,111.23,12,3.0,1519246463.0
-4.28,126.35,339,4.3,1519248288.0
-0.05,126.95,98,4.4,1519250600.0
-8.89,118.11,16,3.1,1519251921.0
-7.05,105.26,10,3.3,1519252821.0
-3.17,130.75,24,5.3,1519258769.0
-3.18,130.77,17,5.2,1519258901.0
