Lintang,Bujur,Kedalaman(KM),Magnitudo(SR),Timestamp
-9.3,123.78,90,2.7,1515230867.0
-9.69,105.77,10,3.9,1515232512.0
4.35,126.82,13,3.9,1515234889.0
4.02,126.66,16,3.6,1515235118.0
4.35,126.99,10,4.2,1515235762.0
4.03,126.86,10,4.0,1515236084.0
4.24,126.78,10,4.3,1515236505.0
4.17,126.72,47,5.1,1515238511.0
-8.32,119.66,158,3.1,1515241729.0
-8.07,118.04,10,2.9,1515243054.0
4.61,126.9,10,4.5,1515244060.0
-8.12,121.69,260,4.1,1515248259.0
-9.59,117.34,13,2.2,1515256499.0
-0.91,131.15,10,1.7,1515256963.0
-9.9,118.83,12,2.6,1515263566.0
-4.27,134.24,32,4.8,1515270017.0
-1.39,120.34,10,3.3,1515282419.0
-4.61,129.49,208,3.6,1515287925.0
4.11,126.69,14,4.1,1515288769.0
-5.71,129.31,354,4.3,1515290348.0
2.46,96.07,54,3.0,1515296749.0
0.93,121.83,30,1.8,1515297942.0
4.25,126.71,11,4.4,1515298547.0
0.13,122.35,98,2.2,1515298907.0
-8.61,118.31,123,3.4,1515308168.0
-0.99,131.19,17,2.3,1515310344.0
-1.42,120.41,10,2.6,1515311202.0
4.09,126.6,10,4.0,1515311464.0
-7.92,117.3,30,2.7,1515316729.0
-3.51,131.37,68,3.3,1515317349.0
-3.44,131.35,52,2.8,1515318183.0
0.1,121.94,157,2.8,1515322965.0
-1.35,120.4,10,2.7,1515328966.0
1.81,122.34,36,2.8,1515333436.0
-6.73,104.86,20,3.5,1515333829.0
0.1,98.77,10,2.8,1515334225.0
1.8,96.95,41,4.1,1515341386.0
-8.24,117.56,239,3.4,1515344365.0
-3.39,131.25,28,3.6,1515347835.0
4.28,94.89,10,4.5,1515353412.0
-8.59,119.03,10,2.6,1515355143.0
-9.95,124.2,10,3.4,1515357880.0
0.47,121.64,65,2.6,1515360885.0
-6.51,104.77,10,3.7,1515369786.0
0.33,122.78,10,3.0,1515370543.0
-0.11,132.73,24,3.9,1515373513.0
-8.99,114.96,10,2.2,1515373714.0
0.44,121.29,65,4.4,1515373768.0
-3.29,131.2,20,4.2,1515374025.0
-8.69,118.35,113,3.1,1515374741.0
-2.96,118.62,10,2.6,1515374768.0
-8.46,108.44,21,3.7,1515374987.0
-0.8,130.99,10,2.3,1515376627.0
-9.08,121.99,10,2.7,1515377301.0
-3.4,131.15,49,3.4,1515378186.0
1.91,123.9,287,4.0,1515378706.0
-9.58,117.51,24,3.7,1515382205.0
-3.66,138.37,62,4.4,1515382865.0
3.24,128.18,128,4.1,1515388435.0
0.05,122.23,122,2.4,1515391263.0
0.52,121.17,58,2.7,1515392016.0
0.86,122.63,23,2.8,1515392710.0
-7.91,118.75,14,2.5,1515392894.0
0.9,122.71,50,2.4,1515395294.0
2.83,126.81,50,5.0,1515395389.0
-1.28,120.42,10,3.3,1515400715.0
2.55,95.78,16,4.6,1515401464.0
1.02,121.05,10,2.4,1515412480.0
-2.31,128.11,65,3.7,1515415570.0
-6.88,129.83,201,4.6,1515417443.0
0.61,122.3,52,2.4,1515418640.0
0.59,121.87,173,1.9,1515423434.0
1.87,121.86,10,2.3,1515424272.0
-0.3,124.84,10,3.5,1515425384.0
-9.23,114.54,139,3.4,1515426788.0
1.27,121.34,10,2.3,1515444968.0
-5.46,103.46,26,3.0,1515446236.0
-3.87,133.77,18,4.2,1515451206.0
-2.45,120.96,10,3.3,1515451362.0
-3.56,131.42,17,4.0,1515453153.0
-5.79,131.04,76,4.2,1515462870.0
-10.42,112.26,10,4.1,1515464398.0
-10.89,112.2,10,4.1,1515464623.0
-4.2,129.43,149,3.6,1515469404.0
-7.81,122.2,301,3.7,1515475906.0
-3.59,119.26,12,2.0,1515478266.0
-0.5,125.53,12,4.0,1515481363.0
3.87,127.13,10,4.1,1515481946.0
-2.76,129.49,67,3.9,1515486961.0
0.22,125.92,56,3.9,1515488323.0
0.4,120.66,81,2.3,1515492950.0
-8.72,118.12,10,2.5,1515493085.0
-8.71,118.13,10,2.7,1515493172.0
3.07,126.44,31,3.6,1515495510.0
-7.81,118.1,29,3.0,1515496468.0
0.57,122.04,89,3.6,1515500598.0
-10.01,119.2,13,3.9,1515520677.0
1.01,123.25,10,3.0,1515522624.0
-0.71,131.06,10,2.8,1515524657.0
-2.36,102.3,185,3.8,1515527007.0
-11.25,115.02,10,4.5,1515529636.0
-0.38,125.58,10,4.0,1515530309.0
-9.65,123.06,17,3.3,1515530508.0
-7.75,106.64,59,3.0,1515532320.0
-7.04,105.75,48,3.8,1515534332.0
-10.23,116.41,26,3.6,1515534924.0
1.36,128.63,10,4.1,1515535183.0
0.12,125.89,10,3.4,1515535713.0
-7.49,106.82,100,2.7,1515550674.0
-0.02,122.14,110,2.4,1515552661.0
4.29,94.98,58,4.0,1515557315.0
2.3,126.8,49,4.9,1515559257.0
-8.28,120.21,181,3.6,1515559962.0
-10.66,112.22,10,4.3,1515561330.0
-0.38,123.18,51,2.9,1515562133.0
-0.01,126.8,29,2.9,1515562560.0
-10.5,112.29,10,4.0,1515562855.0
1.78,122.38,28,2.0,1515564260.0
-8.91,109.11,26,4.5,1515564780.0
-7.91,117.58,297,3.8,1515565184.0
-9.59,121.89,16,3.6,1515565964.0
-8.87,116.91,12,2.6,1515566736.0
1.36,125.74,22,3.1,1515568156.0
-0.59,130.83,31,1.6,1515568764.0
-5.21,130.06,217,3.9,1515570713.0
-8.48,117.94,146,3.7,1515571511.0
-1.08,130.84,10,2.6,1515572033.0
-0.59,131.24,10,2.0,1515572155.0
-3.31,127.01,10,3.0,1515573739.0
0.91,125.47,18,3.2,1515576965.0
-8.62,118.14,10,3.3,1515580362.0
-0.93,130.57,12,1.9,1515580409.0
-0.15,130.39,53,1.9,1515581522.0
-3.36,127.0,10,3.2,1515582123.0
-7.9,117.47,11,4.4,1515582383.0
-0.76,131.46,10,1.3,1515583413.0
-3.35,135.4,72,3.8,1515589179.0
1.18,98.91,87,4.2,1515592417.0
1.3,121.38,10,2.1,1515601916.0
-3.33,99.48,43,4.3,1515604929.0
-9.72,121.58,104,4.7,1515611025.0
-4.98,127.05,33,4.4,1515611980.0
-4.23,129.62,10,3.8,1515615828.0
1.22,121.74,16,2.0,1515627027.0
-0.47,131.84,10,3.7,1515638304.0
-2.42,121.3,10,3.2,1515638541.0
-7.52,128.66,174,4.7,1515638591.0
-4.43,129.78,174,4.2,1515641460.0
-7.25,106.8,84,3.8,1515642448.0
-8.85,118.94,101,3.5,1515642475.0
3.92,126.6,29,4.3,1515645379.0
1.18,121.76,10,3.3,1515650946.0
-8.64,118.33,120,4.1,1515654229.0
0.93,121.16,32,2.2,1515655394.0
-9.1,117.68,36,3.7,1515667085.0
-3.28,131.03,26,3.6,1515669563.0
0.5,122.33,71,4.1,1515670442.0
-0.26,122.78,10,3.2,1515672503.0
1.47,122.2,10,3.7,1515674775.0
3.23,98.3,110,4.0,1515675892.0
1.7,126.13,10,4.0,1515679814.0
0.6,122.32,58,3.4,1515679968.0
