Tanggal,Waktu(UTC),Lintang,Bujur,Kedalaman(KM),Magnitudo(SR)
1/7/2018,10:45:49,2.46,96.07,54,3.0
1/7/2018,11:05:42,0.93,121.83,30,1.8
1/7/2018,11:15:47,4.25,126.71,11,4.4
1/7/2018,11:21:47,0.13,122.35,98,2.2
1/7/2018,13:56:08,-8.61,118.31,123,3.4
1/7/2018,14:32:24,-0.99,131.19,17,2.3
1/7/2018,14:46:42,-1.42,120.41,10,2.6
1/7/2018,14:51:04,4.09,126.6,10,4.0
1/7/2018,16:18:49,-7.92,117.3,30,2.7
1/7/2018,16:29:09,-3.51,131.37,68,3.3
1/7/2018,16:43:03,-3.44,131.35,52,2.8
1/7/2018,18:02:45,0.1,121.94,157,2.8
1/7/2018,19:42:46,-1.35,120.4,10,2.7
1/7/2018,20:57:16,1.81,122.34,36,2.8
1/7/2018,21:03:49,-6.73,104.86,20,3.5
1/7/2018,21:10:25,0.1,98.77,10,2.8
1/7/2018,23:09:46,1.8,96.95,41,4.1
1/7/2018,23:59:25,-8.24,117.56,239,3.4
1/8/2018,00:57:15,-3.39,131.25,28,3.6
1/8/2018,02:30:12,4.28,94.89,10,4.5
1/8/2018,02:59:03,-8.59,119.03,10,2.6
1/8/2018,03:44:40,-9.95,124.2,10,3.4
1/8/2018,04:34:45,0.47,121.64,65,2.6
1/8/2018,07:03:06,-6.51,104.77,10,3.7
1/8/2018,07:15:43,0.33,122.78,10,3.0
1/8/2018,08:05:13,-0.11,132.73,24,3.9
1/8/2018,08:08:34,-8.99,114.96,10,2.2
1/8/2018,08:09:28,0.44,121.29,65,4.4
1/8/2018,08:13:45,-3.29,131.2,20,4.2
1/8/2018,08:25:41,-8.69,118.35,113,3.1
1/8/2018,08:26:08,-2.96,118.62,10,2.6
1/8/2018,08:29:47,-8.46,108.44,21,3.7
1/8/2018,08:57:07,-0.8,130.99,10,2.3
1/8/2018,09:08:21,-9.08,121.99,10,2.7
1/8/2018,09:23:06,-3.4,131.15,49,3.4
1/8/2018,09:31:46,1.91,123.9,287,4.0
1/8/2018,10:30:05,-9.58,117.51,24,3.7
1/8/2018,10:41:05,-3.66,138.37,62,4.4
1/8/2018,12:13:55,3.24,128.18,128,4.1
1/8/2018,13:01:03,0.05,122.23,122,2.4
1/8/2018,13:13:36,0.52,121.17,58,2.7
1/8/2018,13:25:10,0.86,122.63,23,2.8
1/8/2018,13:28:14,-7.91,118.75,14,2.5
1/8/2018,14:08:14,0.9,122.71,50,2.4
1/8/2018,14:09:49,2.83,126.81,50,5.0
1/8/2018,15:38:35,-1.28,120.42,10,3.3
1/8/2018,15:51:04,2.55,95.78,16,4.6
1/8/2018,18:54:40,1.02,121.05,10,2.4
1/8/2018,19:46:10,-2.31,128.11,65,3.7
1/8/2018,20:17:23,-6.88,129.83,201,4.6
1/8/2018,20:37:20,0.61,122.3,52,2.4
1/8/2018,21:57:14,0.59,121.87,173,1.9
1/8/2018,22:11:12,1.87,121.86,10,2.3
1/8/2018,22:29:44,-0.3,124.84,10,3.5
1/8/2018,22:53:08,-9.23,114.54,139,3.4
1/9/2018,03:56:08,1.27,121.34,10,2.3
1/9/2018,04:17:16,-5.46,103.46,26,3.0
1/9/2018,05:40:06,-3.87,133.77,18,4.2
1/9/2018,05:42:42,-2.45,120.96,10,3.3
1/9/2018,06:12:33,-3.56,131.42,17,4.0
1/9/2018,08:54:30,-5.79,131.04,76,4.2
1/9/2018,09:19:58,-10.42,112.26,10,4.1
1/9/2018,09:23:43,-10.89,112.2,10,4.1
1/9/2018,10:43:24,-4.2,129.43,149,3.6
